"","GeneID","Cluster","ComparisonGroup"
"358","LOC107275669","cluster2","Group1"
"359","LOC4327746","cluster2","Group1"
"360","LOC4351538","cluster2","Group1"
"361","LOC9266398","cluster2","Group1"
"362","LOC107277469","cluster2","Group1"
"363","LOC107280077","cluster2","Group1"
"364","LOC107276859","cluster2","Group1"
"365","LOC4349166","cluster2","Group1"
"366","LOC4333296","cluster2","Group1"
"367","LOC107280062","cluster2","Group1"
"368","LOC4335304","cluster2","Group1"
"369","LOC4329911","cluster2","Group1"
"370","LOC9268628","cluster2","Group1"
"371","LOC4344254","cluster2","Group1"
"372","LOC107280376","cluster2","Group1"
"373","LOC107275992","cluster2","Group1"
"374","LOC4335399","cluster2","Group1"
"375","LOC107277949","cluster2","Group1"
"376","LOC4349852","cluster2","Group1"
"377","LOC107276221","cluster2","Group1"
"378","LOC4324570","cluster2","Group1"
"379","LOC4344626","cluster2","Group1"
"380","LOC112936186","cluster2","Group1"
"381","LOC4340073","cluster2","Group1"
"382","LOC107279146","cluster2","Group1"
"383","LOC4349769","cluster2","Group1"
"384","LOC4341113","cluster2","Group1"
"385","LOC4341633","cluster2","Group1"
"386","LOC4324658","cluster2","Group1"
"387","LOC4330160","cluster2","Group1"
"388","LOC9267885","cluster2","Group1"
"389","LOC107277145","cluster2","Group1"
"390","LOC4337133","cluster2","Group1"
"391","LOC4327480","cluster2","Group1"
"392","LOC4329889","cluster2","Group1"
"393","LOC4337126","cluster2","Group1"
"394","LOC4341767","cluster2","Group1"
"395","LOC9266778","cluster2","Group1"
"396","LOC112938318","cluster2","Group1"
"397","LOC4343478","cluster2","Group1"
"398","LOC4348051","cluster2","Group1"
"399","LOC107276208","cluster2","Group1"
"400","LOC4344442","cluster2","Group1"
"401","LOC4334294","cluster2","Group1"
"402","LOC4340258","cluster2","Group1"
"403","LOC9269802","cluster2","Group1"
"404","LOC4351094","cluster2","Group1"
"405","LOC4328704","cluster2","Group1"
"406","LOC4338710","cluster2","Group1"
"407","LOC4341402","cluster2","Group1"
"408","LOC4346837","cluster2","Group1"
"409","LOC4352474","cluster2","Group1"
"410","LOC4325984","cluster2","Group1"
"411","LOC107275616","cluster2","Group1"
"412","LOC107275818","cluster2","Group1"
"413","LOC9267818","cluster2","Group1"
"414","LOC4341398","cluster2","Group1"
"415","LOC4347857","cluster2","Group1"
"416","LOC4352439","cluster2","Group1"
"417","LOC4328053","cluster2","Group1"
"418","LOC4350655","cluster2","Group1"
"419","LOC4327208","cluster2","Group1"
"420","LOC107278422","cluster2","Group1"
"421","LOC4332420","cluster2","Group1"
"422","LOC4328720","cluster2","Group1"
"423","LOC4346856","cluster2","Group1"
"424","LOC4340328","cluster2","Group1"
"425","LOC4338239","cluster2","Group1"
"426","LOC4328036","cluster2","Group1"
"427","LOC4332948","cluster2","Group1"
"428","LOC9271821","cluster2","Group1"
"429","LOC4324053","cluster2","Group1"
"430","LOC4328997","cluster2","Group1"
"431","LOC4347929","cluster2","Group1"
"432","LOC4346194","cluster2","Group1"
"433","LOC4339369","cluster2","Group1"
"434","LOC4323921","cluster2","Group1"
"435","LOC4347094","cluster2","Group1"
"436","LOC112937810","cluster2","Group1"
"437","LOC4335151","cluster2","Group1"
"438","LOC9266952","cluster2","Group1"
"439","LOC4351570","cluster2","Group1"
"440","LOC4351414","cluster2","Group1"
"441","LOC4350063","cluster2","Group1"
"442","LOC4348734","cluster2","Group1"
"443","LOC107275566","cluster2","Group1"
"444","LOC4326432","cluster2","Group1"
"445","LOC107279291","cluster2","Group1"
"446","LOC112938202","cluster2","Group1"
"447","LOC4324398","cluster2","Group1"
"448","LOC9272109","cluster2","Group1"
"449","LOC4328933","cluster2","Group1"
"450","LOC4327727","cluster2","Group1"
"451","LOC112937455","cluster2","Group1"
"452","LOC4328340","cluster2","Group1"
"453","LOC4339561","cluster2","Group1"
"454","LOC4342114","cluster2","Group1"
"455","LOC4345450","cluster2","Group1"
"456","LOC112935990","cluster2","Group1"
"457","LOC107279538","cluster2","Group1"
"458","LOC107280232","cluster2","Group1"
"459","LOC4335110","cluster2","Group1"
"460","LOC107275848","cluster2","Group1"
"461","LOC4327899","cluster2","Group1"
"462","LOC9271299","cluster2","Group1"
"463","LOC4331789","cluster2","Group1"
"464","LOC4326464","cluster2","Group1"
"465","LOC4340996","cluster2","Group1"
"466","LOC4350526","cluster2","Group1"
"467","LOC4341421","cluster2","Group1"
"468","LOC4333813","cluster2","Group1"
"469","LOC4331566","cluster2","Group1"
"470","LOC4332124","cluster2","Group1"
"471","LOC4345956","cluster2","Group1"
"472","LOC4329760","cluster2","Group1"
"473","LOC4352613","cluster2","Group1"
"474","LOC4351915","cluster2","Group1"
"475","LOC4326010","cluster2","Group1"
"476","LOC4341979","cluster2","Group1"
"477","LOC4343499","cluster2","Group1"
"478","LOC107276248","cluster2","Group1"
"479","LOC4346446","cluster2","Group1"
"480","LOC107281522","cluster2","Group1"
"481","LOC107275938","cluster2","Group1"
"482","LOC4351276","cluster2","Group1"
"483","LOC4337886","cluster2","Group1"
"484","LOC107275673","cluster2","Group1"
"485","LOC107277673","cluster2","Group1"
"486","LOC4340547","cluster2","Group1"
"487","LOC4326102","cluster2","Group1"
"488","LOC4339516","cluster2","Group1"
"489","LOC107279936","cluster2","Group1"
"490","LOC4334675","cluster2","Group1"
"491","LOC4352514","cluster2","Group1"
"492","LOC4343466","cluster2","Group1"
"493","LOC9267703","cluster2","Group1"
"494","LOC9270703","cluster2","Group1"
"495","LOC4324137","cluster2","Group1"
"496","LOC4325628","cluster2","Group1"
"497","LOC4343412","cluster2","Group1"
"498","LOC4345302","cluster2","Group1"
"499","LOC107275653","cluster2","Group1"
"500","LOC107276832","cluster2","Group1"
"501","LOC4327615","cluster2","Group1"
"502","LOC4331047","cluster2","Group1"
"503","LOC4332286","cluster2","Group1"
"504","LOC4348524","cluster2","Group1"
"505","LOC4328828","cluster2","Group1"
"506","LOC4344910","cluster2","Group1"
"507","LOC4332774","cluster2","Group1"
"508","LOC9266457","cluster2","Group1"
"509","LOC4349695","cluster2","Group1"
"510","LOC4348646","cluster2","Group1"
"511","LOC4331239","cluster2","Group1"
"512","LOC4339756","cluster2","Group1"
"513","LOC112936064","cluster2","Group1"
"514","LOC4335556","cluster2","Group1"
"515","LOC4328717","cluster2","Group1"
"516","LOC4338958","cluster2","Group1"
"517","LOC4339099","cluster2","Group1"
"518","LOC4338176","cluster2","Group1"
"519","LOC4344170","cluster2","Group1"
"520","LOC4332344","cluster2","Group1"
"521","LOC4324973","cluster2","Group1"
"522","LOC4348530","cluster2","Group1"
"523","LOC4347162","cluster2","Group1"
"524","LOC4343477","cluster2","Group1"
"525","LOC4331234","cluster2","Group1"
"526","LOC4342193","cluster2","Group1"
"527","LOC4337533","cluster2","Group1"
"528","LOC9271520","cluster2","Group1"
"529","LOC4331059","cluster2","Group1"
"530","LOC4333781","cluster2","Group1"
"531","LOC4352796","cluster2","Group1"
"532","LOC4335552","cluster2","Group1"
"533","LOC107276634","cluster2","Group1"
"534","LOC4325434","cluster2","Group1"
"535","LOC4333770","cluster2","Group1"
"536","LOC9270033","cluster2","Group1"
"537","LOC4326534","cluster2","Group1"
"538","LOC4335383","cluster2","Group1"
"539","LOC4338221","cluster2","Group1"
"540","LOC4346176","cluster2","Group1"
"541","LOC4335086","cluster2","Group1"
"542","LOC4329682","cluster2","Group1"
"543","LOC4346825","cluster2","Group1"
"544","LOC4327209","cluster2","Group1"
"545","LOC9270444","cluster2","Group1"
"546","LOC4349708","cluster2","Group1"
"547","LOC4344972","cluster2","Group1"
"548","LOC4346476","cluster2","Group1"
"549","LOC107279907","cluster2","Group1"
"550","LOC4327569","cluster2","Group1"
"551","LOC4351701","cluster2","Group1"
"552","LOC112936561","cluster2","Group1"
"553","LOC4333305","cluster2","Group1"
"554","LOC107276008","cluster2","Group1"
"555","LOC9271078","cluster2","Group1"
"556","LOC4328800","cluster2","Group1"
"557","LOC9271074","cluster2","Group1"
"558","LOC112936645","cluster2","Group1"
"559","LOC4343497","cluster2","Group1"
"560","LOC4327888","cluster2","Group1"
"561","LOC9271570","cluster2","Group1"
"562","LOC4331947","cluster2","Group1"
"563","LOC4352456","cluster2","Group1"
"564","LOC4337027","cluster2","Group1"
"565","LOC9269190","cluster2","Group1"
"566","LOC4339435","cluster2","Group1"
"567","LOC4340443","cluster2","Group1"
"568","LOC4330866","cluster2","Group1"
"569","LOC4330426","cluster2","Group1"
"570","LOC4325020","cluster2","Group1"
"571","LOC4329458","cluster2","Group1"
"572","LOC4352674","cluster2","Group1"
"573","LOC4331382","cluster2","Group1"
"574","LOC4324928","cluster2","Group1"
"575","LOC4334435","cluster2","Group1"
"576","LOC9267154","cluster2","Group1"
