"","Kingdom","Phylum","Class","Order","Family","Genus"
"ASV_3600","Bacteria","Desulfobacterota","Desulfuromonadia","Geobacterales","Geobacteraceae","Geobacter"
"ASV_3603","Bacteria","Proteobacteria","Alphaproteobacteria","Acetobacterales","Acetobacteraceae","Roseomonas"
"ASV_3609","Bacteria","Bacteroidota","Bacteroidia","Cytophagales","Microscillaceae","Hassallia"
"ASV_3612","Bacteria","Bacteroidota","Ignavibacteria","Ignavibacteriales","SR-FBR-L83",NA
"ASV_3619","Bacteria","Chloroflexi","Dehalococcoidia","Dehalococcoidales",NA,NA
"ASV_3620","Bacteria","Actinobacteriota","Acidimicrobiia","IMCC26256",NA,NA
"ASV_3621","Bacteria","Nitrospirota","Thermodesulfovibrionia",NA,NA,NA
"ASV_3624","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Rs-E47 termite group","GWE2-42-42"
"ASV_3626","Bacteria","Actinobacteriota","Acidimicrobiia",NA,NA,NA
"ASV_3632","Bacteria","Actinobacteriota","Thermoleophilia","Gaiellales",NA,NA
"ASV_3633","Bacteria","Myxococcota","Polyangia","Polyangiales","Sandaracinaceae",NA
"ASV_3635","Bacteria","Firmicutes","Clostridia","Gracilibacteraceae","Lutispora",NA
"ASV_3636","Bacteria","Myxococcota","Myxococcia","Myxococcales","Anaeromyxobacteraceae","Anaeromyxobacter"
"ASV_3637","Bacteria","Firmicutes","Clostridia","Peptostreptococcales-Tissierellales","Peptostreptococcaceae","Romboutsia"
"ASV_3638","Bacteria","Desulfobacterota","Desulfovibrionia","Desulfovibrionales","Desulfovibrionaceae","Desulfovibrio"
"ASV_3639","Bacteria","Desulfobacterota","Syntrophobacteria","Syntrophobacterales",NA,NA
"ASV_3642","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Devosiaceae","Devosia"
"ASV_3648","Bacteria","Chloroflexi","Dehalococcoidia","MSBL5",NA,NA
"ASV_3657","Bacteria","TA06",NA,NA,NA,NA
"ASV_3658","Bacteria","Actinobacteriota","Acidimicrobiia",NA,NA,NA
"ASV_3659","Bacteria","Acidobacteriota","Thermoanaerobaculia","Thermoanaerobaculales","Thermoanaerobaculaceae","Subgroup 10"
"ASV_3660","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Nitrosomonadaceae","Nitrosomonas"
"ASV_3661","Bacteria","Verrucomicrobiota","Verrucomicrobiae","Pedosphaerales","Pedosphaeraceae","ADurb.Bin063-1"
"ASV_3662","Bacteria","Actinobacteriota","Acidimicrobiia",NA,NA,NA
"ASV_3663","Bacteria","Actinobacteriota","Thermoleophilia","Solirubrobacterales","67-14",NA
"ASV_3665","Bacteria","Myxococcota","Myxococcia","Myxococcales","Myxococcaceae",NA
"ASV_3666","Bacteria","Bdellovibrionota","Oligoflexia","0319-6G20",NA,NA
"ASV_3667","Bacteria","Proteobacteria","Alphaproteobacteria","Tistrellales","Geminicoccaceae","Candidatus Alysiosphaera"
"ASV_3668","Bacteria","Actinobacteriota","Actinobacteria","Propionibacteriales","Nocardioidaceae","Nocardioides"
"ASV_3671","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidetes vadinHA17",NA
"ASV_3675","Bacteria","Bacteroidota","Kryptonia","Kryptoniales","BSV26",NA
"ASV_3677","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Alteromonadaceae","Rheinheimera"
"ASV_3678","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Rubellimicrobium"
"ASV_3679","Bacteria","Bacteroidota","Kryptonia","Kryptoniales","BSV26",NA
"ASV_3680","Bacteria","Myxococcota","Polyangia","Polyangiales","Phaselicystidaceae","Phaselicystis"
"ASV_3682","Bacteria","Actinobacteriota","Thermoleophilia","Gaiellales",NA,NA
"ASV_3695","Bacteria","Chloroflexi","Anaerolineae","SJA-15",NA,NA
"ASV_3696","Bacteria","Chloroflexi","JG30-KF-CM66",NA,NA,NA
"ASV_3697","Bacteria","Gemmatimonadota","Gemmatimonadetes","Gemmatimonadales","Gemmatimonadaceae",NA
"ASV_3698","Bacteria","Desulfobacterota",NA,NA,NA,NA
"ASV_3705","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Pleomorphomonadaceae","Chthonobacter"
"ASV_3708","Bacteria","Bacteroidota","Bacteroidia","Sphingobacteriales","env.OPS 17",NA
"ASV_3713","Bacteria","Firmicutes","Clostridia","Oscillospirales","Hungateiclostridiaceae","Ruminiclostridium"
"ASV_3716","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Xanthobacteraceae",NA
"ASV_3717","Bacteria",NA,NA,NA,NA,NA
"ASV_3718","Bacteria","Proteobacteria","Alphaproteobacteria","Caulobacterales","Hyphomonadaceae","SWB02"
"ASV_3719","Bacteria","Myxococcota","Myxococcia","Myxococcales","Anaeromyxobacteraceae","Anaeromyxobacter"
"ASV_3720","Bacteria","Bdellovibrionota","Oligoflexia","0319-6G20",NA,NA
"ASV_3726","Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Chitinophagaceae","Flavisolibacter"
"ASV_3727","Bacteria","Sva0485",NA,NA,NA,NA
"ASV_3730","Bacteria","Firmicutes","Clostridia","Oscillospirales","Oscillospiraceae","NK4A214 group"
