"","YR_1_1","YR_1_2","YR_1_3","YR_3_2","YR_3_3","YR_3_4","YR_1_4","YR_1_5","YR_1_6","YR_2_6","YR_2_7","YR_2_8","YR_1_17","YR_2_1","YR_2_2","YR_2_3","YR_2_4","YR_2_5","YR_3_8","YR_3_9","YR_3_10","YR_3_11","YR_1_10","YR_1_11","YR_1_12","YR_1_13","YR_3_12","YR_3_13","YR_3_14","YR_3_15","YR_3_16"
"ASV_2089",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,65,62,45,48
"ASV_2090",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,77,142,72,0,0
"ASV_2091",0,0,0,53,0,0,15,0,0,0,0,130,0,0,0,0,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_2092",0,0,9,32,0,21,21,0,24,0,0,17,0,27,0,0,0,0,17,0,13,19,25,16,0,12,0,0,0,0,0
"ASV_2094",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,66,48,50,55
"ASV_2095",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,75,61,53,35
"ASV_2096",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,0,45,92,107
"ASV_2097",28,19,0,0,0,28,5,2,23,22,0,0,0,0,22,0,0,0,34,29,0,0,0,23,0,16,0,0,0,0,0
"ASV_2100",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,89,0,41,46,111
"ASV_2101",0,0,0,0,54,0,0,0,0,0,0,0,65,0,40,0,0,0,0,38,22,30,0,0,0,0,0,0,0,0,0
"ASV_2102",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,89,105,37,0,64
"ASV_2103",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,81,47,64,43
"ASV_2104",0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,12,0,44,68,56,57,37
"ASV_2106",5,0,0,0,47,15,20,0,0,0,0,0,9,0,50,18,1,0,0,1,0,0,0,10,10,0,0,0,0,0,0
"ASV_2107",0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,17,54,49,53,57,0
"ASV_2114",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,97,84,59,0
"ASV_2115",0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,67,41,50,45
"ASV_2116",0,0,0,18,84,0,0,0,0,0,0,0,0,53,0,0,0,0,0,0,0,90,0,0,0,0,0,0,0,0,0
"ASV_2117",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,10,0,0,0,0,0,167,0,110,0,0
"ASV_2118",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,66,32,62,50
"ASV_2119",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,88,34,81,47
"ASV_2120",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,34,8,0,0,44,0
"ASV_2121",0,0,0,57,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,35,61,0,0,0,0,0,0,0,0,0,0
"ASV_2122",0,30,15,0,89,0,0,0,48,48,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_2123",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,82,47,57,57
"ASV_2124",0,0,10,0,0,0,0,0,43,0,0,28,20,0,0,15,0,26,0,22,20,0,0,15,0,0,0,0,0,0,0
"ASV_2127",0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112,75,65,38,0
"ASV_2128",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,75,35,71,58
