"","YR_1_1","YR_1_2","YR_1_3","YR_3_2","YR_3_3","YR_3_4","YR_1_4","YR_1_5","YR_1_6","YR_2_6","YR_2_7","YR_2_8","YR_1_17","YR_2_1","YR_2_2","YR_2_3","YR_2_4","YR_2_5","YR_3_8","YR_3_9","YR_3_10","YR_3_11","YR_1_10","YR_1_11","YR_1_12","YR_1_13","YR_3_12","YR_3_13","YR_3_14","YR_3_15","YR_3_16"
"ASV_492",0,20,18,20,14,26,42,15,15,41,27,60,44,8,17,9,0,15,24,10,35,5,14,5,9,13,0,0,0,0,0
"ASV_493",0,0,0,48,43,0,0,0,0,0,93,0,78,0,45,0,187,83,0,40,91,0,0,0,0,0,0,0,0,0,0
"ASV_494",0,0,0,16,38,39,0,0,0,0,0,0,67,15,96,0,14,28,83,30,36,28,0,0,0,0,0,0,0,0,0
"ASV_495",17,44,7,80,43,7,28,6,4,32,8,10,0,0,0,13,20,4,4,6,9,4,14,4,46,87,0,0,0,0,0
"ASV_496",0,0,0,0,42,46,0,0,0,0,0,0,101,10,49,0,0,0,0,48,29,58,0,0,0,0,0,0,0,0,0
"ASV_497",0,0,0,37,96,0,0,0,0,95,0,0,47,23,50,0,55,34,0,20,35,0,0,0,0,0,0,0,0,0,0
"ASV_498",0,31,33,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,150,0,30,58,3,47,0,0,0,0,0,0
"ASV_499",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,16,16,116,116,71,115,125
"ASV_500",0,0,0,0,0,0,15,0,24,0,49,22,0,0,0,7,0,14,20,0,0,0,21,2,40,45,81,67,66,72,102
"ASV_501",0,8,98,0,45,25,19,0,23,0,0,38,0,19,0,17,48,0,20,12,0,10,0,0,0,0,0,0,0,0,0
"ASV_502",73,34,0,44,93,44,0,42,0,0,0,0,0,7,0,0,0,0,0,0,0,14,0,0,9,41,0,6,2,0,0
"ASV_503",3,6,0,0,0,0,4,3,7,0,0,0,0,0,0,0,0,0,5,8,3,5,3,6,7,30,129,104,71,72,103
"ASV_504",0,91,29,19,57,17,48,0,46,28,12,49,33,19,0,16,7,5,13,62,7,4,15,58,0,5,0,0,0,0,0
"ASV_505",0,0,0,26,61,0,0,0,0,0,0,0,179,28,61,0,57,87,8,44,21,54,0,0,0,0,0,0,0,0,0
"ASV_506",65,0,10,0,0,18,0,10,38,54,0,0,0,16,0,0,31,27,31,53,20,71,0,0,35,14,3,23,0,6,0
"ASV_508",0,0,15,27,0,51,7,0,23,0,0,50,0,29,0,6,52,34,34,15,34,7,25,43,0,37,0,0,0,0,0
"ASV_509",0,60,26,14,72,21,59,0,32,7,10,13,23,25,98,4,35,14,12,18,41,0,8,9,0,0,5,0,0,5,0
"ASV_510",0,2,25,29,0,10,44,0,48,0,57,69,125,14,0,24,0,38,8,92,30,0,32,19,0,17,0,0,0,0,0
"ASV_511",5,0,62,72,59,83,28,0,23,54,13,46,0,36,0,0,27,6,31,33,38,0,0,7,7,3,0,0,0,0,0
"ASV_512",0,0,0,73,0,0,0,0,0,0,0,0,89,16,54,0,0,32,0,37,40,23,0,0,0,0,0,0,0,0,0
"ASV_513",15,0,0,0,0,0,0,12,5,0,0,0,0,0,0,0,0,0,0,0,0,0,15,9,0,34,74,99,89,117,136
"ASV_514",0,75,30,23,52,45,9,10,153,43,0,17,23,22,0,0,0,42,0,0,0,0,0,0,43,38,0,0,0,0,0
"ASV_515",0,0,0,0,55,0,0,0,0,66,0,0,89,0,73,0,0,43,0,0,50,12,0,0,0,0,0,0,0,0,0
"ASV_516",62,0,0,29,183,137,88,20,0,23,0,18,0,0,0,0,0,0,161,15,0,0,0,0,34,77,0,0,0,0,0
"ASV_517",0,0,0,0,0,0,4,4,0,0,0,0,0,2,0,0,0,0,0,2,2,0,0,9,8,29,52,127,100,176,98
"ASV_518",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,125,127,106,112,85
"ASV_519",0,0,0,0,0,0,0,0,0,0,0,0,90,25,59,0,0,31,0,40,48,29,0,0,0,0,0,0,0,0,0
"ASV_520",29,135,0,16,35,0,0,106,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_521",10,18,6,3,29,0,6,5,26,0,0,0,0,0,0,0,0,21,24,20,0,0,10,0,12,31,76,58,54,48,49
"ASV_523",27,0,34,0,0,24,0,49,0,0,0,0,0,21,137,11,0,0,0,0,0,0,125,57,0,0,0,0,0,0,0
"ASV_524",0,0,0,112,0,0,0,0,0,0,0,0,0,93,0,0,0,0,0,0,0,0,25,99,0,67,0,0,0,0,0
"ASV_525",0,17,0,0,38,0,165,0,4,25,0,0,0,0,33,0,0,21,0,0,15,12,50,76,0,122,0,0,0,0,0
"ASV_526",0,0,0,0,0,0,30,13,0,0,0,0,0,0,25,14,0,19,0,0,0,10,0,0,0,0,48,50,76,42,48
"ASV_527",0,0,0,18,53,0,0,0,0,37,0,0,37,25,83,0,32,43,0,50,35,29,0,0,0,0,0,0,0,0,0
"ASV_528",18,0,7,5,24,0,7,10,5,0,8,6,8,4,0,5,0,0,8,5,11,8,6,13,6,22,84,52,83,82,79
"ASV_529",0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,4,1,6,4,18,22,101,132,67,101,95
"ASV_530",0,0,0,19,35,0,0,0,0,0,0,0,92,21,165,0,9,14,0,20,48,25,0,0,0,0,0,0,0,0,0
"ASV_531",0,16,0,0,170,0,0,0,16,0,0,8,0,30,0,0,0,18,10,11,10,27,0,10,8,27,0,0,0,0,0
"ASV_532",0,0,17,0,0,0,33,0,246,18,0,30,9,4,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
"ASV_533",28,0,16,0,0,13,0,5,30,47,0,45,9,0,0,4,101,0,66,31,34,23,0,9,0,0,0,0,0,0,0
"ASV_534",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,180,50,138,45,77
"ASV_535",21,0,27,15,12,11,9,6,4,7,0,18,53,26,61,22,37,0,0,42,45,34,0,0,0,0,3,0,3,0,11
